wave,start,end,syll,repertoire_file
057-rouge6_July_01_2014_42373803.wav,1.427,2.265,Z,Z-62931-99887-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,2.306,3.9303534614999998,F1,F1-101695-173329-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,3.9303534614999998,4.5,F2,F2-173329-198450-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,4.5,5.45,S1,S1-198450-240345-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,5.45,6.603,S2,S2-240345-291193-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,6.603,8.294,Y,Y-291193-365766-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,8.33,8.521,U,U-367353-375777-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,8.59,8.704,V,V-378819-383847-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,8.704,9.507,E1,E1-383847-419259-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,9.507,10.755,S1,S1-419259-474296-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,10.755,12.074,S2,S2-474296-532464-057-rouge6_July_01_2014_42373803
057-rouge6_July_01_2014_42373803.wav,12.074,12.379,Y,Y-532464-545914-057-rouge6_July_01_2014_42373803
