wave,start,end,syll,repertoire_file
038-rouge6_July_01_2014_34616318.wav,1.825,2.654,Z,Z-80483-117042-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,3.416,4.839,A1,A1-150646-213400-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,4.839,6.145,B,B-213400-270995-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,6.145,7.4180237691999995,S1,S1-270995-327135-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,7.4180237691999995,8.59,S2,S2-327135-378819-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,8.59,10.332,Y,Y-378819-455642-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,10.387,10.583,U,U-458067-466711-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,10.583,11.487,E1,E1-466711-506577-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,11.487,12.4709912045,S1,S1-506577-549971-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,12.471,13.049,St2,St2-549972-575461-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,13.103,14.141,T,T-577843-623619-038-rouge6_July_01_2014_34616318
038-rouge6_July_01_2014_34616318.wav,14.158,14.56,A2,A2-624368-642096-038-rouge6_July_01_2014_34616318
